               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.065866,            0.043644,            0.022135,             0.46121,             0.31672,             0.22154,            0.095194,            0.047181,            0.035555,            0.012721,            0.070023,           0.0033308,           0.0033308
                   1,             0.05231,            0.038158,            0.012355,             0.65159,             0.31624,             0.30268,             0.14031,            0.040553,            0.034008,             0.01017,            0.039803,           0.0064442,           0.0064442
                   2,             0.04809,            0.037217,            0.010021,             0.60931,             0.39904,             0.37011,             0.17136,             0.03915,            0.033864,           0.0077325,            0.009363,           0.0093376,           0.0093376
                   3,            0.044418,            0.036631,           0.0084787,             0.75422,             0.41879,             0.45185,             0.21706,            0.037877,            0.033017,           0.0061681,             0.00901,             0.00901,             0.00901
                   4,            0.041982,            0.036045,           0.0071502,             0.80805,             0.45576,             0.49908,             0.24258,            0.036801,            0.032487,            0.005271,             0.00901,             0.00901,             0.00901
                   5,            0.040573,            0.035702,           0.0062444,             0.84254,              0.4798,             0.53072,             0.26397,            0.036039,             0.03199,           0.0047169,             0.00868,             0.00868,             0.00868
                   6,            0.039644,            0.034886,           0.0056435,             0.84705,             0.48615,             0.54096,             0.27569,            0.035465,             0.03168,           0.0043544,             0.00835,             0.00835,             0.00835
                   7,             0.03906,            0.034454,           0.0053598,             0.86806,             0.48974,             0.55547,             0.28361,            0.035008,            0.031351,           0.0041385,             0.00802,             0.00802,             0.00802
                   8,            0.038343,            0.034082,           0.0050566,             0.87267,             0.50289,             0.57586,             0.29569,            0.034697,            0.030956,           0.0037097,             0.00769,             0.00769,             0.00769
                   9,            0.037776,            0.034149,           0.0048396,             0.86437,             0.50952,             0.60482,             0.31562,            0.034181,            0.030754,           0.0031957,             0.00736,             0.00736,             0.00736
                  10,            0.037402,            0.033914,           0.0045922,             0.88063,             0.51397,             0.62814,             0.33234,            0.033715,            0.030316,           0.0029834,             0.00703,             0.00703,             0.00703
                  11,            0.036923,            0.033254,           0.0044164,              0.7649,             0.60115,             0.65359,             0.34525,            0.033494,            0.030111,           0.0029519,              0.0067,              0.0067,              0.0067
                  12,            0.036519,            0.032964,           0.0042167,             0.80596,             0.59167,             0.66349,             0.35071,            0.033203,            0.029955,           0.0028162,             0.00637,             0.00637,             0.00637
                  13,            0.036155,            0.032935,            0.004076,             0.85678,              0.5895,             0.66785,             0.35897,            0.032926,            0.029739,           0.0025725,             0.00604,             0.00604,             0.00604
                  14,            0.035889,            0.032812,            0.003921,             0.86705,             0.59381,             0.67827,             0.36559,            0.032596,            0.029469,           0.0025559,             0.00571,             0.00571,             0.00571
                  15,            0.035389,            0.032171,           0.0037864,             0.87459,              0.6007,             0.69145,             0.37181,            0.032358,            0.029318,           0.0024006,             0.00538,             0.00538,             0.00538
                  16,            0.035166,            0.032204,           0.0036676,             0.88238,             0.59929,             0.69637,             0.38005,             0.03205,            0.029118,           0.0023585,             0.00505,             0.00505,             0.00505
                  17,            0.034813,            0.031929,           0.0035765,              0.7702,             0.66569,             0.70608,              0.3838,            0.031825,            0.028899,           0.0024302,             0.00472,             0.00472,             0.00472
                  18,            0.034514,             0.03141,           0.0034714,             0.84405,             0.65115,             0.71188,             0.38908,            0.031759,            0.028704,            0.002223,             0.00439,             0.00439,             0.00439
                  19,            0.034198,            0.031342,           0.0033319,             0.81512,             0.67655,             0.71599,             0.39584,            0.031419,            0.028514,           0.0021451,             0.00406,             0.00406,             0.00406
                  20,            0.033895,            0.031277,           0.0032937,             0.85846,             0.66776,             0.72522,             0.39789,            0.031277,            0.028383,           0.0021849,             0.00373,             0.00373,             0.00373
                  21,            0.033706,            0.031135,           0.0031942,             0.84067,             0.65814,             0.72509,             0.40661,            0.031151,            0.028293,           0.0021646,              0.0034,              0.0034,              0.0034
                  22,            0.033311,            0.030571,           0.0031292,             0.86187,             0.66341,             0.72273,              0.4044,            0.030949,            0.028122,           0.0020645,             0.00307,             0.00307,             0.00307
                  23,            0.032967,            0.030512,           0.0029955,             0.84457,             0.67871,             0.73147,              0.4118,            0.030801,            0.027982,           0.0020549,             0.00274,             0.00274,             0.00274
                  24,            0.032749,            0.030223,           0.0029192,             0.87834,             0.67775,             0.73547,             0.41488,            0.030634,            0.027864,           0.0019976,             0.00241,             0.00241,             0.00241
                  25,            0.032466,            0.030041,            0.002894,             0.87983,             0.67564,             0.73868,             0.41836,            0.030492,            0.027729,           0.0019311,             0.00208,             0.00208,             0.00208
                  26,            0.032326,            0.030064,           0.0028012,              0.8785,              0.6825,             0.74101,             0.42243,            0.030439,            0.027632,            0.001919,             0.00175,             0.00175,             0.00175
                  27,            0.032051,             0.02982,           0.0027056,             0.86673,             0.69284,             0.74486,             0.42631,              0.0304,            0.027557,           0.0019026,             0.00142,             0.00142,             0.00142
                  28,            0.031786,            0.029793,           0.0026719,             0.86173,             0.70126,             0.74424,             0.42645,            0.030312,            0.027464,           0.0019087,             0.00109,             0.00109,             0.00109
                  29,            0.031468,            0.029524,            0.002628,             0.85898,             0.70229,             0.74424,             0.42894,            0.030197,            0.027408,           0.0018949,             0.00076,             0.00076,             0.00076
